Name,Pos,Total,Url
Meghan Trainor,71,"1,174,770,487",artist/6JL8zeS1NmiOftqZTRgdTz.html
Tove Lo,72,"1,160,248,102",artist/4NHQUGzhtTLFvgF5SZesLK.html
Chance The Rapper,73,"1,152,187,416",artist/1anyVhU62p31KFi8MEzkbf.html
DJ Khaled,74,"1,131,519,773",artist/0QHgL1lAIqAw0HtD7YldmP.html
Camila Cabello,75,"1,125,619,709",artist/4nDoRrQiYLoBzwC5BhVJzF.html
One Direction,76,"1,108,297,114",artist/4AK6F7OLvEQ5QYCBNiQWHq.html
Alan Walker,77,"1,093,368,950",artist/7vk5e3vY1uw9plTHJAMwjN.html
J. Cole,78,"1,079,367,034",artist/6l3HvQ5sa6mXTsMTB19rO5.html
Post Malone,79,"1,075,989,486",artist/246dkjvS1zLTtiykXe5h60.html
John Legend,80,"1,075,005,429",artist/5y2Xq6xcjJb2jVM54GHK3t.html
Wiz Khalifa,81,"1,068,582,068",artist/137W8MRPWKqSmrBGDBFSop.html
Khalid,82,"1,049,141,844",artist/6LuN9FCkKOj5PcnpouEgny.html
Sean Paul,83,"1,044,701,702",artist/3Isy6kedDrgPYoTS1dazA9.html
Chris Brown,84,"1,020,378,361",artist/7bXgB6jMjp9ATFy66eO08Z.html
Bryson Tiller,85,"1,018,794,704",artist/2EMAnMvWE2eb56ToJVfCWs.html
Shakira,86,"1,014,142,919",artist/0EmeFodog0BfCgMzAIvKQp.html
Rae Sremmurd,87,"995,951,092",artist/7iZtZyCzp3LItcw1wtPI3D.html
Dua Lipa,88,"983,495,365",artist/6M2wZ9GZgrQXHCFfjv46we.html
Farruko,89,"983,162,705",artist/329e4yvIujISKGKz1BZZbO.html
Hailee Steinfeld,90,"981,465,831",artist/5p7f24Rk5HkUZsaS3BLG5F.html
Lil Yachty,91,"927,120,728",artist/6icQOAFXDZKsumw3YXyusw.html
Flo Rida,92,"926,822,419",artist/0jnsk9HBra6NMjO2oANoPY.html
OneRepublic,93,"923,196,316",artist/5Pwc4xIPtQLFEnJriah9YJ.html
Demi Lovato,94,"919,982,005",artist/6S2OmqARrzebs0tKUEyXyp.html
Justin Timberlake,95,"913,207,935",artist/31TPClRtHm23RisEBtV3X7.html
Lukas Graham,96,"905,339,556",artist/25u4wHJWxCA9vO0CzxAbK7.html
Mike Posner,97,"904,033,232",artist/2KsP6tYLJlTBvSUxnwlVWa.html
Anne-Marie,98,"896,666,915",artist/1zNqDE7qDGCsyzJwohVaoX.html
